FILIAL,PEDIDO,TIPO DE VENDA,EMISSAO,FATURA,FAMÍLIA,PRODUTO,QTDE,PREÇO,PRAZO,FRETE;;;;;;;;;;;;;;476.847.531;253.443.870;223.403.661
"PR,935868,Venda Estoque,11/26/2015,1/4/2016,PEAD,17450N,""22,000"",6.1458,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
PR,946465,Venda Estoque,1/4/2016,1/4/2016,PEAD,35057L,500,7.2159,A VISTA,FOB;;;;;;;;;;;;;;;;
"SP,945413,Venda Estoque,12/28/2015,1/4/2016,PEAD,35057L,""1,500"",6.6802,35 DIAS LIQUIDOS,CIF";;;;;;;;;;;;;;;;
"SP,943452,Venda Estoque,12/17/2015,1/4/2016,PEAD,35057L,""1,500"",6.5698,A VISTA,FOB";;;;;;;;;;;;;;;;
RS,946776,Venda Estoque,1/4/2016,1/4/2016,PEAD,35057L,500,7.2500,A VISTA,FOB;;;;;;;;;;;;;;;;
"PR,935644,Venda Estoque,11/26/2015,1/4/2016,PEAD,35057L,""1,500"",6.8200,A VISTA,FOB";;;;;;;;;;;;;;;;
"PR,946455,Venda Estoque,1/4/2016,1/4/2016,PEAD,35060L,""1,500"",7.4430,A VISTA,CIF";;;;;;;;;;;;;;;;
"SP,946759,Venda Estoque,1/4/2016,1/4/2016,PEAD,35060L,""4,500"",7.9878,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946450,Venda Estoque,1/4/2016,1/4/2016,PEAD,DMDA6200,""1,500"",6.9545,A VISTA,CIF";;;;;;;;;;;;;;;;
"SP,946526,Venda Estoque,1/4/2016,1/4/2016,PEAD,DMDA6200,""13,750"",7.5600,24/31/38/45 DIAS,CIF";;;;;;;;;;;;;;;;
"SP,946667,Venda Estoque,1/4/2016,1/4/2016,PEAD,DMDA6200,""13,750"",7.5600,24/31/38/45 DIAS,CIF";;;;;;;;;;;;;;;;
"PR,946450,Venda Estoque,1/4/2016,1/4/2016,PEAD,DMDD6620 NT7,""1,500"",6.8409,A VISTA,CIF";;;;;;;;;;;;;;;;
"SP,946451,Venda Estoque,1/4/2016,1/4/2016,PEBD,722,""1,375"",7.1354,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946457,Venda Estoque,1/4/2016,1/4/2016,PEBD,132I,""1,500"",7.6705,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,946759,Venda Estoque,1/4/2016,1/4/2016,PEBD,132I,500,8.2927,31/38/45 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
"SP,946183,Venda Estoque,12/30/2015,1/4/2016,PEBD,220M,""1,300"",6.7200,31/38/45 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
"SP,946183,Venda Estoque,12/30/2015,1/4/2016,PEBD,5004I,""1,300"",6.7200,31/38/45 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
"PR,946457,Venda Estoque,1/4/2016,1/4/2016,PEBD,586A,""1,500"",7.6705,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946504,Venda Estoque,1/4/2016,1/4/2016,PEBD,586A,""1,375"",7.0313,21/28/35 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
"SP,946827,Venda Estoque,1/4/2016,1/4/2016,PEBD,955I,""1,375"",7.1400,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946160,Venda Estoque,12/30/2015,1/4/2016,PELBD,1613.11,""12,375"",7.1477,14 DIAS LIQUIDOS,CIF";;;;;;;;;;;;;;;;
"PR,944972,Venda Estoque,12/23/2015,1/4/2016,PELBD,1613.11,""13,500"",6.4583,A VISTA,CIF";;;;;;;;;;;;;;;;
"PR,944974,Venda Estoque,12/23/2015,1/4/2016,PELBD,1613.11,""13,500"",6.4583,A VISTA,CIF";;;;;;;;;;;;;;;;
"PR,946457,Venda Estoque,1/4/2016,1/4/2016,PELBD,2645.11G,""3,000"",7.2159,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,946183,Venda Estoque,12/30/2015,1/4/2016,PELBD,DFDA-7059 NT,""1,500"",6.4100,31/38/45 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
"PR,946495,Venda Estoque,1/4/2016,1/4/2016,PELBD,DFDC-7080 NT,""1,375"",7.2159,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946159,Venda Estoque,12/30/2015,1/4/2016,PELBD,DFDC-7080 NT,""12,375"",7.0341,28 DIAS LIQUIDOS,CIF";;;;;;;;;;;;;;;;
"RS,945190,Venda Estoque,12/23/2015,1/4/2016,PELBD,DFDC-7080 NT,""13,750"",7.0455,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946490,Venda Estoque,1/4/2016,1/4/2016,PELBD,DFDC-7080 NT,""6,875"",6.4896,21/28/35/42 DIAS,FOB";;;;;;;;;;;;;;;;
"SP,941799,Venda Estoque,12/14/2015,1/4/2016,PELBD,MISTURA DE P,""5,000"",6.5105,A VISTA,FOB";;;;;;;;;;;;;;;;
"PR,942656,Venda Estoque,12/15/2015,1/4/2016,PELBD,XZ89496.00,""17,275"",5.9375,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,946816,Venda Estoque,1/4/2016,1/4/2016,PP HOMO,KYD6110,150,8.6400,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
PR,946553,Venda Estoque,1/4/2016,1/4/2016,PP HOMO,XSD6200T,500,7.7840,A VISTA,FOB;;;;;;;;;;;;;;;;
"PR,943555,Venda Estoque,12/17/2015,1/4/2016,PP HOMO,XSD6200T,""1,375"",7.7800,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
PR,946456,Venda Estoque,1/4/2016,1/4/2016,PS CRISTAL,U249,300,6.9257,14 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
"SP,945875,Venda Estoque,12/29/2015,1/4/2016,WC,CS K3364 NT,""12,700"",9.5300,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,941977,Venda Estoque,12/14/2015,1/4/2016,WC,DFDA7540 NT,""2,000"",9.8800,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,944238,Venda Estoque,12/21/2015,1/4/2016,WC,DFDB5410 BK,""1,000"",13.4146,28/35 DIAS LIQUID,FOB";;;;;;;;;;;;;;;;
"SP,946452,Venda Triangular,1/4/2016,1/4/2016,WC,DGDA6944 NT,""14,950"",6.4583,28/35/42 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
"PR,946480,Venda Estoque,1/4/2016,1/5/2016,PELBD,2517,""1,375"",11.7614,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"RS,947059,Venda Estoque,1/5/2016,1/5/2016,PELBD,NG2045B,""1,375"",8.1098,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,945804,Venda Estoque,12/29/2015,1/5/2016,PELBD,TG2085B,725,8.2500,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
"SP,945817,Venda Estoque,12/29/2015,1/5/2016,PELBD,TG2085B,""1,375"",8.2500,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,947322,Venda Estoque,1/5/2016,1/5/2016,ETP,A118L V50 PR,100,18.6800,28 DIAS LIQUIDOS,CIF;;;;;;;;;;;;;;;;
SP,947333,Venda Estoque,1/5/2016,1/5/2016,ETP,A216 V30 NAT,75,16.2800,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
SP,944338,Venda Estoque,12/21/2015,1/5/2016,ETP,A216 V30 NAT,600,16.4900,42 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
SP,937936,Venda Estoque,12/3/2015,1/5/2016,ETP,A718 PR21N,500,15.8000,A VISTA,FOB;;;;;;;;;;;;;;;;
SP,944338,Venda Estoque,12/21/2015,1/5/2016,ETP,NEX 3300,50,14.9000,42 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
SP,944338,Venda Estoque,12/21/2015,1/5/2016,ETP,CEL GC25A,75,17.3700,42 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
SP,944338,Venda Estoque,12/21/2015,1/5/2016,ETP,CEL GC25A,25,21.7000,42 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
SP,931491,Venda Estoque,11/13/2015,1/5/2016,ETP,CEL M90 U,150,18.1500,28/35/42 DIAS LIQ,FOB;;;;;;;;;;;;;;;;
SP,947021,Venda Estoque,12/7/2015,1/5/2016,ETP,EB062,875,17.7900,21/28/35/42 DIAS,FOB;;;;;;;;;;;;;;;;
"SP,947294,Venda Estoque,1/5/2016,1/5/2016,ETP,GP22 NR,""1,000"",9.0600,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,947056,Venda Estoque,1/5/2016,1/5/2016,ETP,GP22 NR,100,9.9500,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,947287,Venda Estoque,1/5/2016,1/5/2016,ETP,GP22 NR,350,9.9500,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,947101,Venda Estoque,1/5/2016,1/5/2016,ETP,GP22 NR,700,9.8700,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,938461,Venda Estoque,12/4/2015,1/5/2016,ETP,GP22 PR,700,11.3800,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,947046,Venda Estoque,1/5/2016,1/5/2016,ETP,GP22 PR,700,10.7700,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,947254,Venda Estoque,1/5/2016,1/5/2016,ETP,GP22 PR,300,10.7600,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
PR,947082,Venda Estoque,1/5/2016,1/5/2016,ETP,GP35 NR,500,8.9700,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
PR,947047,Venda Estoque,1/5/2016,1/5/2016,ETP,GP35 NR,100,8.8095,28 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
PR,947050,Venda Estoque,1/5/2016,1/5/2016,ETP,KP20 NAT,25,8.7400,28 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
"SP,940176,Venda Estoque,12/9/2015,1/5/2016,ETP,KP20 NAT,""1,000"",8.7800,28/35/42 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
SP,946845,Venda Estoque,1/4/2016,1/5/2016,ETP,KP30 NAT IMP,500,7.8600,28 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
SP,940176,Venda Estoque,12/9/2015,1/5/2016,ETP,STAR A205F N,100,17.2300,28/35/42 DIAS LIQ,FOB;;;;;;;;;;;;;;;;
SP,947333,Venda Estoque,1/5/2016,1/5/2016,ETP,STAR A205F N,50,18.9800,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
SP,946476,Venda Estoque,1/4/2016,1/5/2016,ETP,STAR A205F N,125,18.8800,A VISTA,CIF;;;;;;;;;;;;;;;;
SP,947056,Venda Estoque,1/5/2016,1/5/2016,ETP,STAR A205F N,150,18.9800,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,945573,Venda Estoque,12/28/2015,1/5/2016,PACKING,EG8100G,600,16.8900,28 DIAS LIQUIDOS,CIF;;;;;;;;;;;;;;;;
PR,947243,Venda Estoque,1/5/2016,1/5/2016,PEAD,35057L,500,7.2159,A VISTA,FOB;;;;;;;;;;;;;;;;
"PR,946506,Venda Estoque,1/4/2016,1/5/2016,PEAD,35057L,""1,500"",7.3864,21 DIAS LIQUIDOS,CIF";;;;;;;;;;;;;;;;
"SP,947328,Venda Estoque,1/5/2016,1/5/2016,PEAD,35060L,""4,500"",7.9878,29/36/43 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,947023,Venda Estoque,1/5/2016,1/5/2016,PEAD,DGDC2100 NT7,950,6.3600,28/35/42 DIAS LIQ,FOB;;;;;;;;;;;;;;;;
"SP,947023,Venda Estoque,1/5/2016,1/5/2016,PEAD,DGDP6097 NT7,""2,050"",6.3600,28/35/42 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
"PR,947286,Venda Estoque,1/5/2016,1/5/2016,PEAD,DMDA6200,""1,500"",6.9545,A VISTA,CIF";;;;;;;;;;;;;;;;
PR,947047,Venda Estoque,1/5/2016,1/5/2016,PEAD,DMDA6200,200,7.0952,28 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
"SP,947027,Venda Estoque,1/5/2016,1/5/2016,PEAD,DMDA6200,""13,750"",6.4583,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,947286,Venda Estoque,1/5/2016,1/5/2016,PEAD,DMDD6620 NT7,""1,500"",6.8409,A VISTA,CIF";;;;;;;;;;;;;;;;
